sentiment,review_body,product_category
0,Frumpy is the word i would use to describe this top. i look good in empire waist shirts and seek them out. but this one made me look pregnant and frumpy. and it has an attached camisole  but the sheerness of the top still showed my nude-colored bra strap. so i don't even know what to wear under it. it's going back  even with the sale price.,Blouses
0,I'm a pretty solid 10/12 in this brand. i went with the 12 since some thought the top to run small...and i agree. while i can wear it and think it will actually stretch out with wear  it's tight in the shoulders and chest. for the record  those are 2 areas i never have problems with. i'm a 36b and it was flattening my chest. it was also quite short on me. i have a short torso and it was barely hitting below my belly button. the shirt felt more like a size 8 than 12.,Blouses
0,The top is really cute  but it's see through and the material doesn't seem like the highest quality. definitely not worth the price.,Blouses
0,"This tunic is simple and well made. it was not as long as on the model as on me but i am 5'-9"".",Blouses
1,Size down! i love this item. it goes perfect with leggings but if you are typically a small you would need to order an extra small and so forth. hopefully once i wash this it will shrink some.,Blouses
1,Cute top. definitely sheer so need an undershirt. really love details on it  especially back and fringe at bottom. 5'4  135 lbs  ordered s.,Blouses
1,This is a truly exquisite top. it looks exactly as it does online with cascades of delicately embroidered flowers on front and back and a slightly ruffled neck. very chic and versatile with skirts or pants.  material is very light and chiffon like and it's fully lined so no need for a cami. it's ever so slightly see-through in the sections that are not embroidered but only in very intense light.  it fits tts  i usually get petite sizes but i got a xxs regular because i wanted a longer length and,Blouses
1,The heart version is very pretty  i can't speak for the striped one as i have not seen that one in person. i ordered the xxs after trying on the xs  as i felt the petite would be perhaps too short. the xs was a little big on me. the only problem with xxs regular is the sleeves are longer on me  like 3/4 length  not to elbow as shown on model. but i don't want the shirt to be too short so sticking with that size.    for reference  i am 115 lbs  30dd chest  26.5 in waist  and short.,Blouses
1,I knew i needed to have this shirt as soon as i saw it and luckily for me  it was already on sale. i read the other reviews and ordered a s (usually order xs or s  but went with s for this one because i was worried about the fit of the bust). overall the shirt is huge on me. i considered returning for an xs but suspect that would also be too big and maybe too short. i decided i could get it tailored instead for the cost of exchange shipping. so i will be doing that. otherwise i love everything a,Blouses
1,"I am a solid size 6 in most brands  top and bottom  5'3"" tall  125#. i have long legs  short torso  and fairly broad shoulders - i almost never wear petite sizes.however  this top in the regular small size could be a maternity dress on me! i am literally swimming in it  and it is quite long. however  i can still make it work  with a cami underneath and leggings or skinny jeans... i like it  did not return  and will buy another color  but will go with petite x-small in the future.",Blouses
1,These colors!!!  my cup of tea!  i love everything about this top  from the fit  to the raw edge of the neck trim. it does seem like it will wrinkle easily but i can manage that for its sheer beauty!,Blouses
1,I am very petite  however  fuller on top (34ddd). this top looks fabulous! it is cut in such a way that every part of your body looks slimmer. goes with jeans  dress pants of skirt. i highly recommend.,Blouses
1,Very cute top. does require a strapless bra as the straps are further out than most tops  and they also tend to fall down. also  while the top fit well  the top button gaps are far apart and tended to separate to show my chest. easy fix with a snap sewed in.,Blouses
-1,I purchased this in-store in a vivid red color  but didn't try it on until i got home. big mistake! literally the first time i tried to zip the dress  the cheap  horrible zipper noted in previous reviews just...broke. midway up  right under the waist tie. i was trapped in the dress for a good 15 minutes and was scared i'd have to rip or cut the fabric to get out of it; eventually i pulled the zipper apart to escape. can't wait to return this asap.,Dresses
-1,I returned this dress because the material is so flimsy and thin. i was expecting higher quality  especially for the price. i was disappointed. it is a pretty dress and fit great  but i felt like i was wearing tissue paper.,Dresses
-1,Great fabric and color but fits like a potato sack -- so sad bc i would have loved it,Dresses
-1,I wore this for the first time today  and after just about an hour  it gently nicked something and got a hole in the pack.  its so disappointing as i love they style and its so comfortable. very poor quality for the price :(,Dresses
-1,I ordered this dress online. the previous reviews were accurate that it runs small  particularly in the waist. i normally wear a 0 or 2  but i ordered the 4. it fit my waist and hips but was slightly loose at the top even though i am a 34c. i liked the look  but it had a hole where the seams had come apart between the black stripe across the chest and the main fabric. additionally  the black squares were pulled in several places with threads sticking out. i returned it immediately.,Dresses
-1,And this one proved to be no different. the short end of it; this dress is pretty much super thick  heavy linen with a rope like collar (the supposed embroidery you see)  and there is no lining  but completely unnecessary pockets. i'm typically a 2 or 4 depending on the designer (5'7 & a super fit 135 lbs) and knew enough to order an xs in this  however it still fit like a potato sack. even upon taking it out of the plastic bag  i knew it was going back. between the unrealistic pictures and lack,Dresses
-1,This is a cute dress  but not for me. 1. i think it runs very small  2. it is super textured so if you don't want to add bulk (aka pounds) to your frame  this probably isn't for you. it's too bad it's online only because i would have benefitted from trying this on first. i'm sure it's probably adorable on smaller  thinner people. unfortunately  mine is going back.,Dresses
-1,I really wanted to love this dress. i love the colors and the design of the dress. unfortunately  i have to agree with one of the other reviewers that this dress makes you look pregnant. it's so voluminous that it's not flattering at all. also agree that the lining is scratchy.,Dresses
-1,"I was so excited for this dress.. but sadly it did not meet expectations. the gauze fabric already had several snags/pullers in it. the underslip was very short and just cleared my derriere.(i'm 5'7"") i normally take a 10/12 and ordered this in a l.. it was somewhat clingy in the hip area but yet bulky on top. also  i like to have the first button open  but you could then see the v neck of the underslip and it looked hokey. it's definitely a thicker material than the previous plaid tunic holding",Dresses
0,I am a 10/12 and ordered the m/l. it's very large! i normally take a large in retailer  but i can't figure out my size in this. it's very wide. i love the denim patchwork detail so i will order the s/m and see how it is.,Dresses
0,I love  love  love byron lars dresses. they fit my curves like a glove. but this one... i guess it would have fit me like a glove. but i live alone  and at the moment i don't have enough money to hire a lady's maid  and so i couldn't actually tell. it buttons all the way up the back  so you cannot put it on yourself  unless you are a contortionist. wanted to love this but can't.,Dresses
0,"Agree with other reviewers: this runs narrow in the skirt. the top is also quite low-cut  and it's already lined so i can't see wearing a cami or slip. i like the black-and-white print and the shape  and might have tried a size larger in the store. finally  it's an awkward  unflattering length. i'm 5'4"" and it hit below my knee.",Dresses
0,"I ordered the geometric  blue/red pattern in a small regular. the material was soft and comfortable. it is a stand-out piece but unfortunately  it made my stomach look like it was sticking out too much. the neck line did not stay flat against my chest which resulted in an ill-fitting  bunched up look. i returned this one. for reference  i'm 5'4"" 120lbs 34 a.",Dresses
0,I was really hoping this dress would work out  as it looks like it could be a staple outfit for work! the material is very nice  but unfortunately the dress was way too big. there is a band right under the chest that i would think should be somewhat fitted to give the dress some shape to your figure  but it was wayyy to big on me (especially considering i am large-chested! i will be returning this.,Dresses
0,This dress pattern and material are great - it's just way too big. i even tried an xs and it looked like a huge sack on me. too bad  it had some real potential.,Dresses
0,"I just think this dress is so cute! i love it with booties!   here are the fit details: i'm 5'4 1/2"" and the front of the dress hits just above my knees. (i was concerned that it would be too short for my lifestyle based on the photo). the sleeves roll up and have a tab to button  however the button is very low. therefore  the sleeve rolls up not mid arm  but actually about three inches above my wrist! (it's still super cute  just nowhere near my elbow. just letting you know).  final detail that",Dresses
0,This is a lovely  well-made piece by maeve  a longtime favorite of mine. the material is great weight and won't wrinkle  colors are vibrant  and design of the dress is cute  if a bit on the short side.    however  i  like some of the other reviewers  didn't love this this on me. the waist hit slightly above my natural waist (and i'm very short-waisted) and this particular sweetheart neckline did nothing to flatter my bust (i'm a 34dd for reference). the end result was a bit too dowdy on top with,Dresses
0,I was disappointed by this dress. i listened to the reviews and ordered one size up  a size 6 instead of my usual 4  and that was the correct size. fit like a glove. unfortunately  the style left much to be desired. this dress is very costume-y. i felt like a wench from the renaissance fair. not a good vibe. it is a beautiful dress  i'm not denying that  but not as a dress you would actually wear to an event. there's just too much going on with the tapestry look and the many types of fabric. i a,Dresses
1,"I really like this dress. despite the somewhat gathered skirt  it has a clean line and doesn't add a lot of volume around the hips. the blue is a great color. the length is well above the knee but i'm 5'10"". i can see wearing this dress in the fall with leggings or tights and boots.",Dresses
1,"So i got this on sale and the only size they had was a xs petite. i didn't have my hopes very high but i thought i would give it a shot. the dress came today and it fit great. i am 5""6"" so the petite came just above my knees but the dress is still adorable. the material and cut is great. this is not what i was looking for but it is a welcome addition.",Dresses
1,"I have been eyeing this dress online for a while but never could justify the price. well  when it went on sale  i couldn't pass up the opportunity. it arrived today and is even better than i expected. very flattering cut  long enough for tall people (i'm 5'10"") and beautiful colors.     i ordered s (my usual size in retailer dresses  i'm 145 lbs  36c) and it fits perfectly. this will definitely be my go-to dress for the rest of the summer. i love all my retailer dresses but sometimes find them a tad",Dresses
1,I purchased the green dress. it is very comfortable and soft. is as pictured. highly recommend for a casual everyday dress. looks like good quality. which it is. i ordered petite small. it is perfect size. i'm usually a 6p.,Dresses
1,Maeve once again created another beauty! love  love  love. i purchased the crocheted cape in cream and have received numerous compliments on the dress. get it while it lasts! i typically wear a 4-6 in maeve and got the 6 in this one.,Dresses
1,"The fabric is so soft and completely lined; the straps are adjustable.  this is the best summer dress ever!!! so comfortable and easy to just throw on. goes with a multitude of colors for your sandals and bags. i love this dress!  i'm 5' 7""  137 lbs.  and ordered a size medium  with plenty of room around the bust; no worry about arm holes being too big because you adjust the straps to suit your body. i love the below the knee length. i like comfy but you could easily size down.  nice embroidery",Dresses
1,This is a beautiful piece. the fabric is a nice weight and the cut of the lace across the shoulders is flattering. the sleeves are dramatic  but not overly fussy. sadly i returned the dress because although it is a swing style (no waistline)  it has a very straight cut. i was hoping it was more of an a-line silhouette to accommodate my hips  but alas. if you self-identify as a pear  this may not be the dress for you.,Dresses
1,I ordered the 00 p after trying on the regular 0  and that was better. it runs wide  the lining is true to size  but the overlay is loose. the colors are pretty  the design is nice  but i didn't love it as much as other ones.    likes: the studs add an edgier look to a almost dainty look (flow y sheer fabric). the cut is flattering if you get the right size (recommend one size down).    no big dislikes...why i would still recommend.    115 lbs  30dd chest  26.5 in waist... 00p,Dresses
1,"This dress is a beauty. i am 5'11"" and plan to wear this as a tunic over leggings or straight leg pants. the embroidery is really pretty  even though it does run a bit big. i would have liked a size 12 or less but it was completely sold out except for a size 14. it is so nice  with gorgeous high quality denim that i will make the best of it - may need to get some tailoring but in my mind  this dress is so worth it.",Dresses
-1,I saw this on a mannequin in the store and so wanted it to work but was just too oversized and bulky. very good quality and material.,Fine gauge
-1,Much to my surprise when i tried on this sweater i found that it was cut in a bell shape and not at all fitted or straight like in the photo. when i pulled it out of the package i thought i'd ordered the wrong size because the shoulders looked so narrow. but when i tried it on the shoulders fit perfectly  with beautiful detail and high quality material  but the sweater belling out to a very wide shape. it is very wide at the hip and looks out of proportion. it doesn't look anything like the phot,Fine gauge
-1,I loved the style so i ordered on line. it runs small and the arm inserts are so low its awkward to wear. i wish the cut was better cause i love the look but not the fit. i am returning this item..,Fine gauge
-1,The top looks better on the model than in-person. it fits loose and looks boxy and matronly. i don't like the sleeve length or the top style  it just didn't look flattering or good. i am sending it back. looks very boxy.,Fine gauge
-1,I was sooo excited to buy this top and it was such a bummer. this top hangs so poorly and is so droopy under the arms. it's clearly poorly made and the sizing was way off on me. i ordered my usual medium and it was so large and wide that i had to return it. it weirdly fit perfectly in the shoulders and arm length as mediums do for me but was so wide and unflattering for my figure (5'8 and athletic). i really wanted to like this top and considered ordering a small to see if it would fit better bu,Fine gauge
-1,I usually wear a size medium in angel of the north but this was very small. i would need to have ordered a size large or xl to have it fit. pretty but returning.,Fine gauge
-1,I loved the way it looks on. fit tts. only problem for me was it was so itchy. there is that small amt. of wool in it. if you have any problem with wool this may not work for you,Fine gauge
-1,I was very disappointed when it arrived and had elbow length sleeves. from the photo  it looked like full length sleeves. it went back.,Fine gauge
-1,So sad becuase i like the design. i would not recomend the lack to anyone that does not live and work and shop in a completely immaculate environment. i wore this to work the day after purchasing and within three hours i honestly looked like i had slept in this sweater for three monthe straight. i had to take the sweater off and work in a t-shirt.   the marigold color may be better than the black abut showing lint but something intrinsic to the fabric really attracts lint like nothing i have eve,Fine gauge
0,This is a relatively cute top when you try it on. however  i don't think it will hold it's shape after even just 1 wear. it also doesn't seem like you could wash it without ruining it (like a shirt form a 'throw-away' cheap clothing store). i checked the fabric tag and it is a very high % viscose - meaning  it won't last long at all. i'm returning and feel frustrated with how cheap the fabric is.,Fine gauge
0,Unfortunately this piece has a very boxy cut and the white layer is stiff and billows out - i am tall and thin but this made me look pregnant - very unflattering. i considered trying a smaller size  but i did not like the material too much either so i just returned it.,Fine gauge
0,I am returning. i really liked the appearance in the photo and i love aqua  but the biggest problem for me is the shape. it's pretty boxy and it's hard to tell from the photo  but it has a batwing shape. i also wish the lighter portion were more ivory (less yellow in it)  but that's based on what looks better against my skin tone. i found it to run true to size  but i thought it was unflattering (made me look wide).,Fine gauge
0,Bought this item on sale and was very disappointed in the quality for the cost. fabric feels cheap  like it will snag easily and will stretch out quickly. did not flatter the female form- felt like a burlap sack. gorgeous blue color but not worth the price tag. returned it.,Fine gauge
0,"I've had my eye on this for a while. went into my local retailer to try it on. tried on s and xs. it fit the same  not much different. the color is great. will go with so many things however i have a larger bust 34d-dd and am short wasted  generally wearing petite in skirts because of it. it sort of belled at the bottom  peplum""ish"" which made it look like my bust drooped to my waste. not flattering on me. i'm 5'3ish  118# and generally wear 4 in tops. it felt like it would stretch out as the day",Fine gauge
0,I'm not much for ponchos  but this one looked unique. it is thin  kind of a felt material - that was expected - but i was surprised to find it was shorter at waist than how it appears online   and it was wide horizontally. the colors were more muted and the design was slightly off center unlike pic. the turtleneck was thick and itchy. it was a return.,Fine gauge
0,A few things: this runs very large. i'm usually a s/m (i'm a little busty so i sometimes size up!) and i'll definitely need an xs in this  i'm swimming in the small. the blue is definitely a steel blue/grey  not really navy. the material is very thin - i thought it would be a bit more substantial. it's very lightweight. that said  it's very pretty  i love the neckline which can be worn as a cowl neck or off the shoulder  and i'll give the xs a shot instead!,Fine gauge
0,"I wanted to love this turtleneck. i read the reviews before ordering. i love the color  the weight of the knit  the ribbing. the small fit me perfectly; i am a 34b  not broad shouldered  and on the thin side in my upper body. however  this item has a strange ""blousy"" fit. the picture of the back view hints at this but it's worse in person. it's like a bell shaped top or even slightly trapezey  which simply doesn't work with my shape. plus  i'm long waisted. i could have made this work had it not",Fine gauge
0,"I am about 5'6""  135 lbs and usually wear between a small or a medium. i ordered a small  as another reviewer did. right when i took it out of the packaging  i could see that it was going to be much shorter than you can tell from the online photo. i knew the sweater was going to be cropped  but it falls right at the top of my hip bones. when i raise my arms up  my whole midriff shows. did not flatter my athletic build at all. the fit around the shoulders and chest is fine  skimming but not tight",Fine gauge
1,Saw the grey one on the table at my local retailer. first thing i did was touch it to feel if it's soft and it felt like butta. surprisingly  it's a very snuggly and warm sweater despite it not being very thick. i think the grey is conservative enough for the office and it goes with pretty much everything  yet the geometric shapes make it modern and interesting looking. i hate turtleneck (choke!) and big cowl neck (reminds me of the 80's)  but this is a compromise of both which is a bonus. since i,Fine gauge
1,This sweater is very warm yet light. the pink color is very cute  and the buttons are detailed very nicely! it hangs a bit low under the arms  and definitely tightens at the wrist. i ordered the xs size  and i find that i am unable to push the sleeves up. this is so beautiful and has a subtle uniqueness.,Fine gauge
1,This sweater works on many levels for petite frames. the length is just right  hitting at the lower waist. the design is very pretty  feminine and with flair.,Fine gauge
1,Very cute but true it's very sheer. good with a simple nude tube underneath to avoid bra straps showing. i got in both colors. great with slim pants or jeans. may need to order up a size if long torso like me. the small was a bit short.,Fine gauge
1,"Loved everything about this sweater but the short length.  didn't notice in the pictures but the last one of the back of the model shows the length. it barely reached the very top of my jeans so would have to wear something under or i'd be flashing my stomach all the time.  worked a bit better with skirts  but still too cropped for my frame. wish it was 1-2"" longer in length and would have been a new fall favorite. really great color and design besides that. just make sure you are wanting the sh",Fine gauge
1,This sweater is super light-weight and is very cute.,Fine gauge
1,Great design & execution - this is essentially a striped jersey sleeveless turtleneck  made of a nice  high-quality jersey. with a delicate lightweight soft sweater attached over it. so you get this really pretty look where the jersey underlay means the sweater hangs beautifully  no clinging at all. and the sleeves are just the sheer sweater - so pretty.  i got the lavender - looks exactly like the pic. and it is true to size.,Fine gauge
1,I tried on the petite in the store and loved it it's just the color kind of washes me out a bit... nut i did love hte fit and style...,Fine gauge
1,I passed this over on first sight because it looked like it might be on the short side in length. after seeing a few other photos and reading the reviews  i opted to give it a go. the store did not have my usual xs or even a size small  so i tried on the medium. it was too wide as expected  but the shoulders are adjustable so i fiddled with it a bit and decided it was really cute. there were no more xs available to order so i asked if the store could order the small. it arrived and is absolutely,Fine gauge
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,"Loved how this draped and im super petite 5'1""(32b bust) and this was seriously one of the most ill fitting items i have every owned. i purchased the pxs and it was huge. i hope this has a better fit as the other reviewers seem to have a more positive review. i was just appalled as to how bad the measurements were off. unfortunately the straps are not adjustable so this went below my chest. too sad retailer  please get the fit right!!",Intimates
-1,The first time i wore this tank it started pilling around the arms and down the sides. it is terribly quality  and gets worse with every wear and wash. possibly the worst wear on a new clothing item i've ever seen. like the design and fit  immediately relegated it to a weekend/home shirt because it was unprofessionally pilly and the pills are small so can't be shaved off.,Intimates
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,"This nightgown looked so comfy and cute! i ordered a large and it was so uncomfortably tight.i'm 5'3"" and 150lbs. it was such a shame. size large should not just be really a medium!",Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
0,This is pretty and provides coverage with a bit of support for wearing around the house. i'm a 34b so i ordered the small- it still had room in it so i tightened the straps and used the tightest hooks on the back  and that makes it fit ok. i bought it just to wear at home since i was not expecting a great deal of support or shaping  and while it feels ok it is not super-comfy- it's a bit scratchy around the edges. i was going to buy another color if i loved this  but as it is i will keep the one,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
0,If your hips are bigger than a size 6 us you can't fully close this robe. the model must be wearing the larger of the two sizes to have such a nice oversized fit. the fabric is soft and lux and amazing  but the weird dart in the back and the closure is right over my sadly size 8 hips and butt. if i was taller and thinner i would have kept this and worn it every day.,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,I love and live in these but the recent scoop tanks i purchased were thin  not as great. so i want to recommend them because they are really versatile but the quality has deminished.,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
0,I have been eyeing this piece for months now! i broke down and bought it when they finally had my size in stock. i am 5 '4 and 110 lbs and have a very small chest so i ordered an xs. i think the top is too baggy for me. yes  the top and bottoms fit overall  but it doesn't look as nice and form fitting like it does on the model. it is very sheer--which is the thing that discourages me the most. i love the concept of this piece but the execution could use some work  which i am willing to work on s,Intimates
1,I am not a fan of unlined bras  but this one was so pretty i had to try it. the lace doesn't look cheap  but overall i wouldn't have wanted to pay full price. it fits well and the support offers a nice shape (no cone!). i might go back for the other color.,Intimates
1,This bra is very cute and pretty comfortable. i usually wear between a 34d in elle mcpherson and this fit perfect. i got it in black and while it's really cute i was surprised how different the color looked in person vs. online. online it looked to me to have some purple to it  but it is definitely 100% black in person (just an fyi). i also thought the tassel was cute  but it does look a little cheap and flimsy in person. still a great bra.,Intimates
1,This is different from any bra i've had before  in a good way. the lace over the front is really beautiful  and no annoying straps means it's comfortable! fit and support are both great. i didn't notice that it was silk when i ordered  so it was a nice surprise to open something so luxe and elegant. i wasn't expecting an underwire  either  based on the s-m-l sizing  but it has one.,Intimates
1,This is my first time purchasing a bra from this brand and i am in love. the style and quality are amazing. it is the most comfortable bra i owned to date and i will be buying more from this line. it provides a lift without all of the uncomfortable padding which requires continuous adjusting. i am saying goodbye to vs forever. i got this in red and the bra looks more expensive than it actually is and the fit is simply amazing.it is sexy and classic at the same time.,Intimates
1,Love love love this pair of underwear (yes  i'm writing this about underwear). they're comfortable  flattering  and no vpl (visible panty line) without having to wear a thong.,Intimates
1,I love this bralette. i have it in other colors as well and it is always the one i go to when i want comfort.,Intimates
1,Looks exactly as it does in the pictures. very comfortable  loose flowing  and has a slip underneath it. i'm personally a little hesitant to buy clothes online because it's always a guessing game when it comes to figuring out what size. with that  i have wide hips/big thighs so i tend to vary between medium and large  but thankfully the medium fits like a glove!,Intimates
1,True to size  very pretty.  as pictured expect that it is more peachy and not this light.  i like it and will keep it but just be aware that it is not a pale pink as in the picture.,Intimates
1,I love this gown so much. i have two of them! the gray and pink. they are really soft and comfortable. i sleep in them all of the time.,Intimates
-1,I bought this online in the grey and blue and had high hopes. it runs big so size down at least 1-2 sizes. i didn't realize that the sweater looking part on the forearms was part of the coat. that part of the coat is really nice and comfy. unfortunately  the rest of the coat (the wool part) is very itchy. it would've been awesome if it was lined on the inside  but it's not...so i'm taking them back.,Jackets
-1,This jacket looks like such the statement piece online with the soft focus lens  but in reality...meh. i think the pattern is gorgeous and would have worked without the studs. and the studs are unique and would have worked on a simple solid color. but put them together and you have the unwanted love child of a laura ashley bag and a marching band jacket. to me  it all felt more cloying than clever.    the quilted fabric and boxy cut of the jacket also makes it unwieldy and uncomfortable. since i,Jackets
-1,"I have been looking for an off-white vest and thought this one would be perfect  except it is going back. i am 5'9"" 150 lbs. medium is my normal top size  but this medium was tight even though the design looks relaxed in the picture. no buttons  so no way to close it. unlined and the design and fabric look more casual than the photo. not worth the price.",Jackets
-1,Read the reviews and thought i would just remove the label asap to prevent snags since i loved the item!   however  the item came with unrepairable holes  not just snags and they are either on the neck or front sleeve which forces me to return the item asap. didn't even try it on. so sad  but i still love retailer!!!,Jackets
-1,This is a cute item at a good price point  though the lack of lining in cartonnier items drives me batty. unfortunately  the wool is so itchy i could not tolerate it more than a second.,Jackets
-1,I purchased this jacket in my local store. size 10 and runs really small . i love the color combination and design but the fabric in my opinion is poor quality. i have seen a lot of retailer use this poly spun knit in so much of their items and the jacket after bringing it home and looking in the light was already showing pilling. looks like it is worn in an bad way. returned the next day. this was a big disappointment and every time i see this fabric being used in retailer clothes it makes me mad.,Jackets
-1,I ordered a small  but it was way to big. it was very soft.,Jackets
-1,"Beautiful fabric with soft drape. unfortunately the ""captain kangaroo"" pockets are awful. unless you have a straight up and down shape with no hips this is very unflattering. the pockets look like saddle bags and add a huge amount of fabric where most people don't want added bulk. very disappointing. returned.",Jackets
-1,"Runs extremely large. i got an xs and am 5'4"" 115lbs and this would have fit someone who typically wears a size 10-14 and is 5'6"" and above. very disappointed with the size. the quality of the fabric wasn't great either. i wanted it to work so bad but just didn't!",Jackets
0,Very pretty but runs tight - i usually wear an 8 or small/med in retailer jackets and couldn't zip up the 8 (am a 36c and thick/broad at the top) as there is no give. this is also more like a fitted shirt  made of lightweight muslin-like fabric. was looking for a summer jacket to wear over knits in a chilly  air conditioned office setting so sadly it didn't work for me. could be cute on someone with a smaller frame over a tank or cami.,Jackets
0,I saw this jacket and loved the plaid and the idea of a soft sherpa material as a lining was hard to pass up1it was true to size and the material was very nice. however  the button closure was difficult as the buttonholes seemed a bit too small. also  the back of the jacket did not lay flat and it kept rolling.... i had to return this jacket.,Jackets
0,I'm normally a 10/12 and ordered the m/l. the body was a little big but ok. the arms are really wide. there are snaps to make them tighter but it doesn't do much. i do like the embroidery. it's an ok jacket but the fit could have been better.,Jackets
0,Slouchy relaxed fit. well sewn together and hangs well on the body. bottom hem hits upper thigh. good length and soft  easy fabric. light layering option as well. good spring jacket  can be kept on indoors without getting too hot.,Jackets
0,This was a fail for me. although i ordered size large it barely fit my midsection when tied and was too small in the waist. the fabric is nice though. best on thinner frames than mine.,Jackets
